taxon,biome
Adenopodia_gymnantha,3
Adenopodia_oaxacana,3
Anadenanthera_colubrina,3
Anadenanthera_colubrina_cebil,2&3&5
Anadenanthera_colubrina_colubrina,2&3&5
Anadenanthera_peregrina,2&3&5
Gwilymia_coriacea,2&3
Gwilymia_fissurata,2
Gwilymia_moricolor,5
Gwilymia_occhioniana,5
Gwilymia_paniculata,5
Gwilymia_polystachya,5
Gwilymia_racemifera,5
Inga_edulis,2&3&5
Lachesiodendron_viridiflorum,3
Marlimorimia_bahiana,3&5
Marlimorimia_contorta,2&3&5
Marlimorimia_psilostachya,5
Marlimorimia_warmingii,5
Microlobius_foetidus,3
Mimosa_acantholoba,3
Mimosa_acantholoba_acantholoba,2&3
Mimosa_acantholoba_eurycarpa,2&3
Mimosa_acapulcensis,3
Mimosa_accedens,2
Mimosa_acroconica,2
Mimosa_aculeaticarpa,5
Mimosa_aculeaticarpa_biuncifera,3
Mimosa_acutistipula,2&3&5
Mimosa_acutistipula_acutistipula,3
Mimosa_adamantina_adamantina,2
Mimosa_adenantheroides,3&5
Mimosa_adenantheroides_hystricosa,?
Mimosa_adenocarpa,1&2
Mimosa_adenophylla,2&3
Mimosa_adenophylla_armandiana,2&3
Mimosa_adenophylla_mitis,2&3
Mimosa_adenotricha,2
Mimosa_adpressa,4
Mimosa_affinis,?
Mimosa_aguapeia,2
Mimosa_albida_albida,?
Mimosa_albolanata,2
Mimosa_albolanata_brasiliana,2
Mimosa_albolanata_paucipinna,2
Mimosa_amnisatri,2
Mimosa_andina,?
Mimosa_antioquensis,3&5
Mimosa_antrorsa,2
Mimosa_apodocarpa,2
Mimosa_arenosa,3
Mimosa_arenosa_arenosa,3
Mimosa_arenosa_leiocarpa,2&3
Mimosa_artemisiana,5
Mimosa_aspera,3
Mimosa_atlantica,5
Mimosa_auriculata,2
Mimosa_aurivillus,2&5
Mimosa_aurivillus_aurivillus,2&5
Mimosa_aurivillus_calothamnos,2&5
Mimosa_aurivillus_sordescens,2
Mimosa_bahamensis,3
Mimosa_barretoi,2
Mimosa_bathyrrhena,5
Mimosa_benthamii,3
Mimosa_bifurca,2
Mimosa_bimucronata,5
Mimosa_bimucronata_bimucronata,2&3&5
Mimosa_bispiculata,2
Mimosa_blanchetii,3
Mimosa_boliviana,3
Mimosa_borboremae,3
Mimosa_borealis,3
Mimosa_brachycarpa,2
Mimosa_brevipetiolata_hirtula,2
Mimosa_busseana,3
Mimosa_caduca,?
Mimosa_caerulea,3&4
Mimosa_caesalpiniifolia,3
Mimosa_calcicola,3
Mimosa_caliciadenia,2
Mimosa_callidryas,2
Mimosa_callithrix,2
Mimosa_calothamnos_calothamnos,2
Mimosa_campicola_campicola,2
Mimosa_campicola_planipes,2
Mimosa_camporum,?
Mimosa_candollei,?
Mimosa_capito,2
Mimosa_caracensis,?
Mimosa_casta,3&5
Mimosa_ceratonia,3&5
Mimosa_ceratonia_ceratonia,?
Mimosa_ceratonia_interior,5
Mimosa_ceratonia_pseudoobovata,5
Mimosa_chartostegia,2
Mimosa_chiliomera,2
Mimosa_chiquitaniensis,?
Mimosa_chochisensis,?
Mimosa_chrysastra,2
Mimosa_chrysothrix,2
Mimosa_cisparanensis,2
Mimosa_claussenii,2
Mimosa_claussenii_claussenii,2
Mimosa_claussenii_claviceps,2
Mimosa_claussenii_megistophylla,2
Mimosa_claussenii_microphyllidia,2
Mimosa_claussenii_prorsiseta,2
Mimosa_colombiana,5
Mimosa_coniflora,5
Mimosa_cordistipula,2&3
Mimosa_coruscocaesia,2
Mimosa_corynadenia,1
Mimosa_costenya,3
Mimosa_craspedisetosa,2
Mimosa_cruenta,2
Mimosa_crumenarioides,2
Mimosa_cryptothamnos,2
Mimosa_ctenodes,3
Mimosa_cuiabensis,2
Mimosa_cyclophylla,2
Mimosa_daleoides,2
Mimosa_dalyi,3
Mimosa_deamii,3
Mimosa_debilis_debilis,?
Mimosa_decorticans,2
Mimosa_delicatula,3
Mimosa_densa_alligantina,2
Mimosa_densa_densa,2
Mimosa_depauperata,3
Mimosa_detinens,3
Mimosa_dicerastes,2
Mimosa_dichroa,2
Mimosa_diminuta,2
Mimosa_diplotricha_diplotricha,?
Mimosa_discobola,2
Mimosa_distachya_oligacantha,3
Mimosa_dolens_dolens,2
Mimosa_dolens_rigida,2
Mimosa_dominarum,2
Mimosa_domingensis,3
Mimosa_dormiens,1
Mimosa_dryandroides,5
Mimosa_dryandroides_extratropica,5
Mimosa_dutrae,2
Mimosa_dysocarpa,3
Mimosa_echinocaula,2
Mimosa_elliptica,5
Mimosa_emoryana,3
Mimosa_ephedroides,0
Mimosa_ervendbergii,5
Mimosa_eurystegia,5
Mimosa_exalbescens,3
Mimosa_fachinalensis,5
Mimosa_farinosa,?
Mimosa_fiebrigii,2
Mimosa_filipes,2&3
Mimosa_flagellaris,2
Mimosa_flocculosa,5
Mimosa_floridana,?
Mimosa_foliolosa_brevibractea,2
Mimosa_foliolosa_foederalis,2
Mimosa_foliolosa_foliolosa,2
Mimosa_foliolosa_franciscana,2
Mimosa_foliolosa_grandibracteata,2
Mimosa_foliolosa_gravida,2
Mimosa_foliolosa_multipinna,2
Mimosa_foliolosa_pachycarpa,2
Mimosa_foliolosa_paranani,2
Mimosa_foliolosa_peregrina,2
Mimosa_foliolosa_pubescens,2
Mimosa_foliolosa_vernicosa,2
Mimosa_foliolosa_viscidula,2
Mimosa_furfuracea,2&5
Mimosa_galeottii,3
Mimosa_gatesiae,2
Mimosa_gemmulata,2&3
Mimosa_glutinosa,1&2
Mimosa_goldmanii,3
Mimosa_gracilis_invisiformis,2
Mimosa_gracilis_stipitata,2
Mimosa_grahamii,?
Mimosa_grandidieri,3
Mimosa_granitica,2
Mimosa_guaranitica,2&3
Mimosa_guatemalensis,3
Mimosa_guilandinae,5
Mimosa_guilandinae_extensissima,5
Mimosa_gymnas,5
Mimosa_hafomantsina,3
Mimosa_hamata,3
Mimosa_hapaloclada,2
Mimosa_hatschbachii,5
Mimosa_hebecarpa,2
Mimosa_heringeri,2
Mimosa_hexandra,3
Mimosa_hirsutissima_barbigera,2
Mimosa_hirsutissima_grossa,2
Mimosa_hondurana,5
Mimosa_honesta,3
Mimosa_humivagans,2
Mimosa_hypoglauca_hypoglauca,2
Mimosa_hystricina,4
Mimosa_incana,2
Mimosa_incarum,3
Mimosa_insignis,2
Mimosa_interrupta,2
Mimosa_invisa,2&5
Mimosa_invisa_invisa,2&3&5
Mimosa_invisa_macrostachya,2&5
Mimosa_involucrata,5
Mimosa_irrigua,3
Mimosa_jacobita,2
Mimosa_jaenensis,?
Mimosa_josephina,2
Mimosa_kalunga,2
Mimosa_kuhnisteroides,5
Mimosa_lacerata,3
Mimosa_lactiflua,3
Mimosa_lamolina,?
Mimosa_laniceps,2
Mimosa_lanuginosa_lanuginosa,2
Mimosa_laticifera,2
Mimosa_latidens,4
Mimosa_latispinosa,3
Mimosa_leiocephala,2
Mimosa_lepidophora,3
Mimosa_lepidorepens,5
Mimosa_lepidota,3
Mimosa_leprosa_parviceps,2
Mimosa_leptantha,3
Mimosa_leptocarpa,3
Mimosa_leucaenoides,3
Mimosa_levenensis,3
Mimosa_lewisii,3
Mimosa_lithoreas,2
Mimosa_longepedunculata,2
Mimosa_loxensis,3
Mimosa_luisana,3
Mimosa_macedoana,?
Mimosa_maguirei,2
Mimosa_malacophylla,3
Mimosa_manidea,2
Mimosa_martindelcampoi,3
Mimosa_melanocarpa,2
Mimosa_menabeensis,?
Mimosa_mensicola,2
Mimosa_micropteris,2&5
Mimosa_minarum,2&3
Mimosa_minutifolia,2
Mimosa_misera,3
Mimosa_modesta,2&3
Mimosa_mollis,3
Mimosa_monancistra,3
Mimosa_montana_montana,3
Mimosa_montana_sandemanii,?
Mimosa_montiscarasae,2
Mimosa_morroensis,2&3
Mimosa_mossarnbicensis,3
Mimosa_myriadenia,5
Mimosa_myriocephala,3
Mimosa_myrioglandulosa,2
Mimosa_myriophylla,2&5
Mimosa_nanchititlana,5
Mimosa_neonitens,2
Mimosa_neptunioides,1&2
Mimosa_niederleinii,5
Mimosa_nitens,2
Mimosa_nossibiensis,?
Mimosa_nothacacia,3
Mimosa_nothopteris,3
Mimosa_oblonga,2&5
Mimosa_obstrigosa,4&5
Mimosa_occidentalis,?
Mimosa_oedoclada,2
Mimosa_oligosperma,2
Mimosa_onilahensis,3
Mimosa_ophthalmocentra,3
Mimosa_orbignyana,2
Mimosa_orthacantha,5
Mimosa_orthocarpa,2
Mimosa_pachycarpoides,2
Mimosa_palmeri,3
Mimosa_paludosa,1
Mimosa_papposa,2
Mimosa_paraibana,3&5
Mimosa_parviceps,2
Mimosa_parvipinna,4
Mimosa_paucifolia,?
Mimosa_pectinatipinna,3
Mimosa_pedersenii,5
Mimosa_perdusenii,2
Mimosa_pigra,1&2&3&5
Mimosa_pigra_asperata,1
Mimosa_pigra_dehiscens,1
Mimosa_pilulifera,5
Mimosa_piresii,2&5
Mimosa_pithecolobioides,2
Mimosa_platycarpa,3&5
Mimosa_poculata,2
Mimosa_polyantha,3
Mimosa_polycarpa,1&2
Mimosa_polycarpa_redundans,?
Mimosa_polycarpa_subandina,1&3
Mimosa_polycephala,2
Mimosa_polydactyla,5
Mimosa_polydidyma,2
Mimosa_prainiana,3
Mimosa_pringlei_pringlei,?
Mimosa_procurrens,2
Mimosa_prorepens,2
Mimosa_pseudocallosa,2
Mimosa_pseudoradula,2
Mimosa_pseudosepiaria,1
Mimosa_psilocarpa,3
Mimosa_psoralea,3
Mimosa_pteridifolia,2
Mimosa_pudica,?
Mimosa_pudica_pudica,?
Mimosa_purpusii,3
Mimosa_pyrenea,2
Mimosa_quadrivalvis,2&3&5
Mimosa_quadrivalvis_angustata,2&5
Mimosa_quadrivalvis_diffusa,3
Mimosa_quadrivalvis_jaliscensis,4
Mimosa_quadrivalvis_nuttallii,3
Mimosa_quadrivalvis_occidentalis,3
Mimosa_quadrivalvis_paucijuga,0
Mimosa_quadrivalvis_platycarpa,4
Mimosa_quadrivalvis_quadrivalvis,0&2
Mimosa_quadrivalvis_urbaniana,?
Mimosa_quitensis,?
Mimosa_radula,2
Mimosa_ramboi,2
Mimosa_ramosissima,5
Mimosa_ramulosa,2
Mimosa_rastrera,?
Mimosa_regina,2
Mimosa_regnellii_supersetosa,2
Mimosa_revoluta,3
Mimosa_rheiptera,2
Mimosa_rhodocarpa,3
Mimosa_rhodostegia,2
Mimosa_riedelii,2
Mimosa_robusta,1&5
Mimosa_rubicaulis_himalayana,3
Mimosa_rufescens,5
Mimosa_rufipila,2
Mimosa_rupigena,2
Mimosa_rusbyana,3
Mimosa_sanguinolenta,5
Mimosa_scabrella,5
Mimosa_schleidenii,2
Mimosa_schomburgkii,1&5
Mimosa_sensitiva,1&2&3&5
Mimosa_sensitiva_sensitiva,2&3&5
Mimosa_sericantha,2
Mimosa_setosa_setosa,2
Mimosa_setosissima,2
Mimosa_setuligera,3
Mimosa_sicyocarpa,3
Mimosa_similis,3
Mimosa_sinaloensis,3
Mimosa_skinneri_desmodioides,2&5
Mimosa_somnambulans,2
Mimosa_somnians_lasiocarpa,?
Mimosa_somnians_lupulina,?
Mimosa_somnians_somnians,2&3
Mimosa_somnians_velascoensis,?
Mimosa_sousae,3
Mimosa_speciosissima,2
Mimosa_spirocarpa,3
Mimosa_spixiana,2
Mimosa_splendida,2
Mimosa_sprengelii,2
Mimosa_strigillosa,1
Mimosa_strobiliflora,5
Mimosa_stylosa,2
Mimosa_subenervis,2
Mimosa_suberosa,2
Mimosa_subinermis,4&5
Mimosa_subsericea,?
Mimosa_taimbensis,5
Mimosa_tandilensis,?
Mimosa_tejupilcana,5
Mimosa_tenuiflora,3
Mimosa_tequilana,3
Mimosa_tetragona,5
Mimosa_texana_filipes,3
Mimosa_texana_texana,3
Mimosa_tocantina,2
Mimosa_torresiae,3
Mimosa_townsendii,3
Mimosa_trianae,5
Mimosa_tricephala_nelsonii,3
Mimosa_tricephala_xanti,?
Mimosa_ulbrichiana,3
Mimosa_ulei_grallator,2
Mimosa_ulei_ulei,2
Mimosa_uliginosa,2
Mimosa_unipinnata,3
Mimosa_uraguensis,5
Mimosa_urbica,2
Mimosa_ursina,3
Mimosa_urticaria,5
Mimosa_velloziana,?
Mimosa_venatorum,2
Mimosa_verecunda,2
Mimosa_vernicosa_ciliata,2
Mimosa_verrucosa,3
Mimosa_vestita,2
Mimosa_vilersii,3
Mimosa_viperina,2
Mimosa_virgula,2
Mimosa_volubilis,3
Mimosa_waterlotii,3
Mimosa_watsonii,5
Mimosa_weberbaueri,3
Mimosa_weddelliana,1
Mimosa_woodii,3
Mimosa_xanthocentra_tremula,2
Mimosa_xavantinae,2
Mimosa_xiquexiquensis,3
Mimosa_zygophylla,3
Naiadendron_duckeanum,5
Neptunia_monosperma,?
Parapiptadenia_blanchetii,3&5
Parapiptadenia_excelsa,3
Parapiptadenia_ilheusana,5
Parapiptadenia_pterosperma,5
Parapiptadenia_rigida,5
Parapiptadenia_zehntneri,3
Parkia_timoriana,?
Piptadenia_adiantoides,5
Piptadenia_affinis,5
Piptadenia_anolidurus,5
Piptadenia_buchtienii,3
Piptadenia_flava,3
Piptadenia_floribunda,5
Piptadenia_fruticosa,5
Piptadenia_gonoacantha,5
Piptadenia_irwinii,3
Piptadenia_irwinii_irwinii,2&3
Piptadenia_irwinii_unijuga,3
Piptadenia_killipii,5
Piptadenia_macradenia,2
Piptadenia_micracantha,5
Piptadenia_minutiflora,5
Piptadenia_paniculata,3&5
Piptadenia_peruviana,5
Piptadenia_polyptera,5
Piptadenia_pteroclada,5
Piptadenia_retusa,3
Piptadenia_robusta,5
Piptadenia_santosii,5
Piptadenia_stipulacea,3
Piptadenia_trisperma,5
Pityrocarpa_brenanii,2&3
Pityrocarpa_inaequalis,5
Pityrocarpa_leptostachya,5
Pityrocarpa_moniliformis,3
Pityrocarpa_obliqua,3
Pityrocarpa_obliqua_brasiliensis,3
Pityrocarpa_schumanniana,5
Senegalia_nigrescens,2
Stryphnodendron_adstringens,2
Stryphnodendron_cristalinae,2
Stryphnodendron_foreroi,5
Stryphnodendron_gracile,2
Stryphnodendron_guianense,3&5
Stryphnodendron_heringeri,2
Stryphnodendron_microstachyum,5
Stryphnodendron_obovatum,3
Stryphnodendron_platyspicum,2
Stryphnodendron_polyphyllum,2&3&5
Stryphnodendron_polyphyllum_villosum,2
Stryphnodendron_porcatum,5
Stryphnodendron_pulcherrimum,5
Stryphnodendron_pumilum,2
Stryphnodendron_roseiflorum,5
Stryphnodendron_rotundifolium,1&2&3
Stryphnodendron_rotundifolium_villosum,2
Stryphnodendron_velutinum,2
Vachellia_farnesiana,2&3&5
