scientific_name_(check),literature_source,scientific_name_(original),name_phylogeny,genus,specific_Epithet,infraspecific_Epithet,rank,grains,outline,pollen_arrangement,ornamentation,pore_number,shorter_diameter_min,shorter_diameter_max,shorter_diameter_mean,longer_diameter_min,longer_diameter_max,longer_diameter_mean,pore_diameter_min,pore_diameter_max,pore_diameter_mean,exine_thickness_min,exine_thickness_max,exine_thickness_mean,sexine_thickness_mean,nexine_thickness_mean,voucher,herbarium,herbarium_code,voucher_review,image_of_literature
Adenopodia gymnantha,Caccavari 2002,Adenopodia gymnantha ,Adenopodia_gymnantha,Adenopodia,gymnantha,,Species,5,1,,7,,,,,,,28,,,,,,,,,Langlassé 638,P,,,Adenopodia_gymnantha-Caccavari-2002-10µm / Adenopodia_gymnantha-2-Caccavari-2002-10µm
Adenopodia oaxacana,Caccavari 2002,Adenopodia oaxacana ,Adenopodia_oaxacana,Adenopodia,oaxacana,,Species,5,1,,7,,,,,,,31,,,,,,,,,Sousa et al. 9673,MEXU,,,Adenopodia_oaxacana-Caccavari-2002-10µm
Anadenanthera colubrina,Cruz et al. 2018; Ribeiro et al. 2018,Anadenanthera colubrina ,Anadenanthera_colubrina,Anadenanthera,colubrina,,Species,5,0&1,2,0&3,,32.5,47.5,39,32.5,47.5,38.8,,,,2,2,2,1,1,DM Calmon 221 / LP Queiroz s.n. /  s.col. / Lacerda 262 / Lacerda 268 / Melo 3744,R / R / R / HUEFS / HUEFS / HUEFS,ALCB 75760 (DM Calmon 221) / HUEFS 112288 / HUEFS 112292 / HUEFS 91632,,Anadenanthera_colubrina-Cruz-2018-5μm / Anadenanthera_colubrina-2-Cruz-2018-5μm / Anadenanthera_colubrina-3-Cruz-2018-5μm / Anadenanthera_colubrina_var.cebil-Ribeiro-2018-10μm / Anadenanthera_colubrina_var.cebil-2-Ribeiro-2018-10μm
Anadenanthera colubrina var. cebil,Caccavari 2002; Ribeiro et al. 2018,Anadenanthera colubrina var. cebil  / Anadenanthera colubrina,Anadenanthera_colubrina_cebil,Anadenanthera,colubrina,cebil,Variety,4,1&2,2,0&6,,30,40,35.067,30,42.5,37.78,,,,2,2,2,,,Faria 114 / Melo 6563 / Queiroz 7194 / Ricardo s.n. / Rubens 161,RB / HUEFS / HUEFS / HUEFS / RB,RB 212051 / HUEFS 151750 / HUEFS 60904 / HUEFS 35629,"Faria 114, Melo 6563, Queiroz 7194 and Ricardo s.n. = Anadenanthera colubrina var. cebil",Anadenanthera_colubrina_var.colubrina-Ribeiro-2018-10μm / Anadenanthera_colubrina_var.colubrina-2-Ribeiro-2018-10μm / Anadenanthera_colubrina_var.colubrina-3-Ribeiro-2018-10μm / Anadenanthera_colubrina_var. cebil-Caccavari-2002-10µm / Anadenanthera_colubrina_var. cebil-2-Caccavari-2002-10µm / Anadenanthera_colubrina_var. cebil-3-Caccavari-2002-10µm / Anadenanthera_colubrina_var. cebil-4-Caccavari-2002-10µm
Anadenanthera colubrina var. colubrina,Buril et al. 2010,Anadenanthera colubrina var. colubrina ,Anadenanthera_colubrina_colubrina,Anadenanthera,colubrina,colubrina,Variety,5,,,0,1&3,30.9,37.5,33.9,33.3,41.2,37.2,,,,2.5,2.5,2.5,1.5,1,E. Córdula 195 / W. Ganev 2666,HUEFS / HUEFS,HUEFS 117740 / HUEFS 16264,,Anadenanthera_colubrina_var. colubrina-Buril-2010-10μm / Anadenanthera_colubrina_var. colubrina-2-Buril-2010-10μm / Anadenanthera_colubrina_var. colubrina-3-Buril-2010-10μm / Anadenanthera_colubrina_var. colubrina-Buril-2010-10μm / Anadenanthera_colubrina_var. colubrina-2-Buril-2010-10μm / Anadenanthera_colubrina_var. colubrina-3-Buril-2010-10μm
Anadenanthera peregrina,Ribeiro et al. 2018; Caccavari 2002,Anadenanthera peregrina / Anadenanthera peregrina var. falcata ,Anadenanthera_peregrina,Anadenanthera,peregrina,,Species,5,1,2,0,,22.5,35,29.767,20,47.5,34.55,,,,1,1,1,,,Colchester 2374 / Kinupp 25794 / Pifano 149 / Oliveira 18,HUEFS / HUEFS / HUEFS / RB,HUEFS 50563 / FUEL 25794 / HUEFS 59150 / RB 226097,Kinupp 25794 and Oliveira 18 = Anadenanthera peregrina var. falcata ,Anadenanthera_peregrina-Ribeiro-2018-10μm / Anadenanthera_peregrina-2-Ribeiro-2018-10μm / Anadenanthera_peregrina-3-Ribeiro-2018-10μm
Gwilymia coriacea,Barduzzi et al. 2024; Guinet & Caccavari 1992,Stryphnodendron coriaceum / Stryphnodendron piptadenioides,Gwilymia_coriacea,Gwilymia,coriacea,,Species,5,1&2,,6,,30.8,30.8,30.8,34.1,34.1,34.1,1.8,1.9,1.85,1,1,1,,,"M. A. Silva 1472,  T. S. Filgueiras, J.W.B. Machado, A. L. Brochado / Lima 13302",ESA / RFA,ESA 88712 / RFA 17172,,Stryphnodendron_piptadenioides-1-Guinet & Caccavari-1992-x10000 / Stryphnodendron_piptadenioides-2-Guinet & Caccavari-1992-x1000 / Stryphnodendron_piptadenioides-3-Guinet & Caccavari-1992-x1000 / Stryphnodendron_piptadenioides-4-Guinet & Caccavari-1992-x1000 / Stryphnodendron_piptadenioides-5-Guinet & Caccavari-1992-x10600
Gwilymia fissurata,Caccavari 2002; Guinet & Caccavari 1992,Stryphnodendron fissuratum,Gwilymia_fissurata,Gwilymia,fissurata,,Species,5,2,5,6,,40.5,,40.5,,58.6,63.3,2.4,,2.4,,,1.8,,,Eiten et al. 8956 / Eiten & Eiten 8956,SP / SP,SP 129687 / SP 129687,,Stryphnodendron_fissuratum-1-Guinet & Caccavari-1992-x1000 / Stryphnodendron_fissuratum-2-Guinet & Caccavari-1992-x1000 / Stryphnodendron_fissuratum-3-Guinet & Caccavari-1992-x16000 / Stryphnodendron_fissuratum-4-Guinet & Caccavari-1992-x10600
Gwilymia moricolor,Guinet & Caccavari 1992,Stryphnodendron moricolor ,Gwilymia_moricolor,Gwilymia,moricolor,,Species,5,1&2,5,0&1,,44.5,44.5,44.5,57.6,57.6,57.6,3.2,5.5,4.35,1.5,2,1.75,,,Mori & Boom 15236,CAY,,,
Gwilymia occhioniana,Guinet & Caccavari 1992,Stryphnodendron occhionianum ,Gwilymia_occhioniana,Gwilymia,occhioniana,,Species,3,1&2,1,6,,31.1,31.1,31.1,47.9,47.9,47.9,3.2,3.5,3.35,1.4,2,1.7,,,Oliveira 997,RB,,,Stryphnodendron_occhionianum-1-Guinet & Caccavari-1992-x1000 / Stryphnodendron_occhionianum-2-Guinet & Caccavari-1992-x1000 / Stryphnodendron_occhionianum-3-Guinet & Caccavari-1992-x1000 / Stryphnodendron_occhionianum-4-Guinet & Caccavari-1992-x1000 / Stryphnodendron_occhionianum-5-Guinet & Caccavari-1992-x1000 / Stryphnodendron_occhionianum-6-Guinet & Caccavari-1992-x10000
Gwilymia paniculata,Guinet & Caccavari 1992,Stryphnodendron paniculatum / Stryphnodendron rizzinianum ,Gwilymia_paniculata,Gwilymia,paniculata,,Species,5,2,3,0&1,,36.2,36.2,,44.5,44.5,44.5,3.2,5.5,4.35,1.5,2,1.75,,,Ducke s.n. (5.07.1936) / Krukoff 6441 / Ducke s.n. (7.11.1935),US / RB / RB,US 1694148 / RB 32083 / RB 29044,,Stryphnodendron_paniculatum-1-Guinet & Caccavari-1992-x1000 / Stryphnodendron_paniculatum-2-Guinet & Caccavari-1992-x1000 / Stryphnodendron_paniculatum-3-Guinet & Caccavari-1992-x10600 / Stryphnodendron_rizzinianum-1-Guinet & Caccavari-1992-x1000 / Stryphnodendron_rizzinianum-2-Guinet & Caccavari-1992-x1000 / Stryphnodendron_rizzinianum-3-Guinet & Caccavari-1992-x1000 / Stryphnodendron_rizzinianum-4-Guinet & Caccavari-1992-x1000
